ts,time,wall_time,mp_count.O,real_count.O,px.O,py.O,pz.O,KE.O,PE,E_total
77,7.8e-06,60.5281,860760,8.6076e+17,9.63373e-09,1.28617e-08,0.000160102,0.573719,1.70933e-08,0.573719
78,7.9e-06,61.9749,871642,8.71642e+17,8.20401e-09,1.49672e-08,0.000162127,0.580982,1.70933e-08,0.580982
79,8e-06,63.4399,882498,8.82498e+17,9.7158e-09,1.32301e-08,0.000164147,0.588217,1.70933e-08,0.588217
80,8.1e-06,64.8878,893366,8.93366e+17,1.0731e-08,1.52277e-08,0.000166169,0.595463,1.70933e-08,0.595463
81,8.2e-06,66.376,904212,9.04212e+17,9.67931e-09,1.41809e-08,0.000168184,0.602676,1.70933e-08,0.602676
82,8.3e-06,67.8884,915078,9.15078e+17,7.51437e-09,1.54674e-08,0.000170204,0.60991,1.70933e-08,0.60991
83,8.4e-06,69.3885,925922,9.25922e+17,5.54802e-09,1.53847e-08,0.000172219,0.617126,1.70933e-08,0.617126
84,8.5e-06,70.9319,936755,9.36755e+17,6.17902e-09,1.71324e-08,0.000174232,0.624331,1.70933e-08,0.624331
85,8.6e-06,72.4888,947562,9.47562e+17,6.13229e-09,1.85818e-08,0.000176244,0.631544,1.70933e-08,0.631544
86,8.7e-06,74.065,958381,9.58381e+17,8.24616e-09,2.08381e-08,0.000178259,0.638775,1.70933e-08,0.638775
87,8.8e-06,75.6732,969176,9.69176e+17,6.02424e-09,1.91295e-08,0.000180268,0.645975,1.70933e-08,0.645975
88,8.9e-06,77.366,980023,9.80023e+17,8.0474e-09,1.92719e-08,0.000182287,0.653213,1.70933e-08,0.653214
89,9e-06,79.1007,990859,9.90859e+17,8.30652e-09,2.08063e-08,0.000184304,0.660447,1.70933e-08,0.660447
90,9.1e-06,80.7556,1001673,1.00167e+18,8.63862e-09,2.08869e-08,0.00018632,0.667685,1.70933e-08,0.667685
91,9.2e-06,82.4131,1012497,1.0125e+18,1.01928e-08,1.81727e-08,0.000188333,0.674896,1.70933e-08,0.674896
92,9.3e-06,84.0886,1023301,1.0233e+18,1.37503e-08,2.069e-08,0.000190342,0.682095,1.70933e-08,0.682095
93,9.4e-06,85.7828,1034073,1.03407e+18,1.1643e-08,1.93418e-08,0.000192347,0.689278,1.70933e-08,0.689278
94,9.5e-06,87.4998,1044908,1.04491e+18,1.39771e-08,1.9126e-08,0.000194362,0.6965,1.70933e-08,0.6965
95,9.6e-06,89.2307,1055723,1.05572e+18,1.43329e-08,2.0447e-08,0.000196375,0.703712,1.70933e-08,0.703712
96,9.7e-06,90.975,1066527,1.06653e+18,1.28218e-08,1.89612e-08,0.000198385,0.710914,1.70933e-08,0.710914
97,9.8e-06,92.7359,1077341,1.07734e+18,1.35299e-08,1.56946e-08,0.000200399,0.718139,1.70933e-08,0.718139
98,9.9e-06,94.518,1088142,1.08814e+18,1.44425e-08,1.42374e-08,0.000202407,0.725331,1.70933e-08,0.725331
99,1e-05,96.3172,1098896,1.0989e+18,1.37682e-08,1.86739e-08,0.000204407,0.732501,1.70933e-08,0.732501
100,1.01e-05,98.1281,1109661,1.10966e+18,1.35999e-08,1.90889e-08,0.000206408,0.739662,1.70933e-08,0.739662
